powerplant_id,region_id,distribution_date,energy_supplied,plant_name,capacity,plant_type,operator_id,region_name,area,population,operator_name,contact

76,25,2025-01-25,1062,Ramirez LLC,515,Solar,2,treatment,4393,700514,Karla Williams,746.435.9498

98,5,2025-01-18,6961,Schaefer and Sons,738,Nuclear,15,leader,4787,957156,Thomas Ramsey Jr.,974-935-3350

3,26,2025-02-08,6987,Brown Inc,438,Wind,18,with,154,217686,Alexander Peck,596.919.9974

75,34,2025-01-08,3685,Moody-Jones,860,Nuclear,18,open,1610,182975,Alexander Peck,596.919.9974

91,23,2025-02-08,6581,Washington-Rodriguez,357,Wind,9,almost,7874,156719,Jesus Farmer,001-761-463-3181x90875

51,1,2025-01-23,2499,Rios-Davis,685,Nuclear,8,yourself,6875,283881,Jason Rogers,318.998.1018x29895

99,48,2025-02-04,759,"Rodriguez, Wright and Ewing",540,Wind,13,wall,9732,68927,Amanda Brewer,+1-709-384-6793x40569

18,11,2025-01-25,5646,Hull PLC,377,Solar,13,produce,7733,515402,Amanda Brewer,+1-709-384-6793x40569

47,33,2025-01-14,7924,"Mason, Deleon and Cummings",486,Solar,1,side,6063,947493,Geoffrey Rowe,+1-470-992-8199x713

48,3,2025-01-19,732,Gilbert PLC,491,Wind,18,style,6743,423946,Alexander Peck,596.919.9974

48,2,2025-01-19,3418,Gilbert PLC,491,Wind,18,concern,4778,285671,Alexander Peck,596.919.9974

1,37,2025-01-10,1945,Jones-Alvarez,419,Nuclear,11,girl,7259,155879,Nancy Taylor,456.498.4947

11,47,2025-01-01,1898,Miller-Jones,779,Wind,20,attorney,1928,129170,Lori Stevens,566-636-0830

10,48,2025-01-28,9350,Rice PLC,586,Solar,14,wall,9732,68927,Eric James,631-884-7163x6622

8,49,2025-01-16,3555,"Byrd, Buck and Robinson",739,Wind,14,quite,7036,505364,Eric James,631-884-7163x6622

77,46,2025-01-24,3732,Davis Ltd,715,Solar,13,whom,3784,277709,Amanda Brewer,+1-709-384-6793x40569

87,11,2025-02-05,3307,"Buchanan, Thomas and Kramer",58,Hydro,3,produce,7733,515402,Brittany Fisher,859-631-7851x3001

80,16,2025-02-09,261,Davis-Moran,554,Hydro,7,since,8610,173045,Andrew Molina,260-952-5460x9017

46,39,2025-02-13,9845,Flores-Johnson,448,Solar,20,final,3375,251396,Lori Stevens,566-636-0830

50,40,2025-01-23,3897,Ramirez PLC,321,Hydro,8,about,8969,309357,Jason Rogers,318.998.1018x29895

99,32,2025-01-10,534,"Rodriguez, Wright and Ewing",540,Wind,13,event,5956,322658,Amanda Brewer,+1-709-384-6793x40569

8,13,2025-01-01,9509,"Byrd, Buck and Robinson",739,Wind,14,how,3177,776469,Eric James,631-884-7163x6622

54,24,2025-02-18,2042,Johnson-West,834,Hydro,5,down,9008,265642,Abigail Bass,3279096207

